ID,z,up,gp,rp,ip,zp,Y,J,H,K,IRAC_1,IRAC_2,up_err,gp_err,rp_err,ip_err,zp_err,Y_err,J_err,H_err,K_err,IRAC_1_err,IRAC_2_err
99,0.14,20.185,19.488,19.201,19.052,18.877,18.687,18.552,18.555,18.639,19.376,19.825,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
108,0.28,22.29,20.66,19.191,18.618,18.307,18.102,17.699,17.49,17.29,18.152,18.294,0.013,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
117,0.1,19.97,19.364,19.301,18.989,19.032,18.887,18.849,18.778,18.924,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
126,0.06,20.174,19.606,19.451,19.207,19.044,18.844,18.801,18.785,18.986,19.778,20.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.013
135,0.2,20.474,19.821,19.412,19.319,19.128,18.964,18.789,18.775,18.789,19.544,19.939,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012
144,0.36,20.4,19.963,19.376,19.251,19.105,18.951,18.676,18.593,18.505,19.256,19.506,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
153,0.16,20.962,20.027,19.468,19.239,19.103,18.947,18.811,18.705,18.701,19.476,19.832,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
162,0.28,21.145,20.299,19.52,19.244,19.096,18.957,18.781,18.673,18.513,19.349,19.574,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
171,0.08,20.033,19.617,19.612,19.192,19.297,18.982,19.138,19.037,19.189,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
180,0.28,22.699,21.073,19.576,18.997,18.702,18.49,18.111,17.915,17.69,18.553,18.708,0.014,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
189,0.1,20.339,19.779,19.681,19.385,19.445,19.282,19.238,19.174,19.32,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
198,0.22,21.743,20.457,19.706,19.339,19.077,18.85,18.471,18.393,18.255,19.068,19.308,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
207,0.06,20.387,19.876,19.777,19.623,19.577,19.442,19.376,19.314,19.461,26.37,26.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
216,0.22,21.808,20.545,19.79,19.431,19.179,18.93,18.578,18.455,18.353,19.151,19.414,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
225,0.42,21.972,20.96,19.741,19.334,19.095,18.851,18.463,18.154,17.985,18.603,18.857,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
234,0.18,20.911,20.268,19.897,19.762,19.602,19.415,19.23,19.237,19.273,20.024,20.429,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.013
243,0.26,21.477,20.605,19.871,19.621,19.467,19.305,19.159,19.043,18.895,19.733,19.941,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012
252,0.16,20.999,20.32,19.98,19.847,19.68,19.512,19.343,19.345,19.397,20.152,20.597,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014
261,0.22,20.916,20.446,20.05,19.902,19.922,19.859,19.701,19.644,19.607,26.37,26.37,0.01,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
270,0.32,23.332,21.562,19.996,19.385,19.053,18.83,18.47,18.21,17.961,18.829,18.963,0.019,0.014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
279,0.06,20.491,20.117,20.08,19.818,19.751,19.424,19.596,19.516,19.705,26.37,26.37,0.01,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,-1,-1
288,0.2,22.105,20.835,20.114,19.751,19.509,19.224,18.904,18.813,18.689,19.494,19.785,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
297,0.26,23.132,21.518,20.089,19.53,19.243,19.041,18.649,18.461,18.246,19.107,19.278,0.017,0.014,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
306,0.32,22.24,21.035,20.047,19.679,19.442,19.201,18.805,18.604,18.41,19.217,19.411,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
315,0.38,23.711,21.824,20.135,19.46,19.087,18.851,18.502,18.19,17.961,18.686,18.907,0.023,0.015,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
324,0.16,21.048,20.503,20.159,20.011,20.023,19.96,19.82,19.786,19.831,26.37,26.37,0.011,0.011,0.011,0.01,0.011,0.01,0.01,0.01,0.01,-1,-1
333,0.24,21.806,20.885,20.22,19.972,19.8,19.661,19.499,19.4,19.255,20.084,20.35,0.011,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.013
342,0.34,22.368,21.222,20.227,19.803,19.591,19.322,18.93,18.736,18.528,19.315,19.508,0.013,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
351,0.08,21.105,20.503,20.326,20.099,19.929,19.733,19.69,19.632,19.834,20.59,21.121,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.014,0.017
360,0.14,21.123,20.541,20.269,20.088,20.132,20.03,19.906,19.861,19.913,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,-1,-1
369,0.24,21.262,20.761,20.334,20.26,20.211,20.195,19.855,19.962,19.925,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,-1,-1
378,0.32,22.513,21.335,20.338,19.954,19.724,19.455,19.094,18.882,18.697,19.489,19.683,0.013,0.013,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
387,0.4,22.481,21.442,20.284,19.865,19.617,19.391,18.999,18.72,18.548,19.17,19.44,0.013,0.013,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
396,0.18,21.391,20.744,20.362,20.234,20.076,19.89,19.688,19.709,19.754,20.501,20.913,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.013,0.016
405,0.28,22.532,21.324,20.428,20.066,19.803,19.549,19.19,19.012,18.83,19.689,19.881,0.014,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.012
414,0.4,22.568,21.543,20.378,19.972,19.718,19.473,19.097,18.812,18.621,19.284,19.5,0.014,0.014,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011
423,0.12,21.093,20.582,20.515,20.101,20.232,20.007,19.999,19.961,20.062,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.01,0.011,0.01,0.011,-1,-1
432,0.18,22.468,21.187,20.502,20.18,19.9,19.636,19.309,19.202,19.161,19.926,20.254,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.012,0.012
441,0.24,22.099,21.202,20.545,20.248,20.111,19.968,19.806,19.715,19.562,20.382,20.637,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.013,0.014
450,0.28,21.601,21.07,20.515,20.438,20.273,20.128,19.869,19.843,19.811,20.541,20.895,0.011,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.014,0.015
459,0.38,22.635,21.578,20.469,20.064,19.825,19.562,19.185,18.937,18.72,19.447,19.671,0.014,0.014,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011
468,0.04,21.248,20.761,20.61,20.566,20.483,20.324,20.313,20.217,20.438,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
477,0.16,21.636,20.956,20.631,20.495,20.328,20.139,19.984,19.977,20.041,20.788,21.222,0.011,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.011,0.015,0.018
486,0.22,22.678,21.386,20.618,20.285,19.995,19.75,19.411,19.3,19.168,19.989,20.238,0.014,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.012,0.012
495,0.26,21.548,21.072,20.612,20.567,20.355,20.467,20.138,20.246,20.171,26.37,26.37,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
504,0.32,21.725,21.218,20.627,20.529,20.404,20.231,19.985,19.923,19.862,20.581,20.934,0.011,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.014,0.015
513,0.38,22.818,21.726,20.62,20.2,19.975,19.719,19.347,19.094,18.886,19.597,19.804,0.015,0.015,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011
522,0.04,21.323,20.822,20.674,20.614,20.54,20.42,20.371,20.272,20.497,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
531,0.12,21.492,20.86,20.75,20.474,20.518,20.391,20.321,20.254,20.356,26.37,26.37,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
540,0.18,21.536,21.082,20.727,20.542,20.595,20.51,20.343,20.343,20.36,26.37,26.37,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
549,0.24,23.67,22.089,20.747,20.193,19.888,19.687,19.295,19.14,18.927,19.793,19.983,0.022,0.017,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.012
558,0.28,23.773,22.165,20.668,20.084,19.796,19.577,19.185,19.005,18.759,19.652,19.788,0.024,0.017,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011
567,0.3,22.352,21.513,20.719,20.434,20.269,20.143,19.958,19.835,19.689,20.515,20.691,0.013,0.013,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.013,0.014
576,0.38,22.886,21.838,20.695,20.31,20.057,19.812,19.444,19.18,18.965,19.683,19.877,0.015,0.015,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.012
585,0.06,21.174,20.785,20.746,20.476,20.436,20.107,20.272,20.201,20.368,26.37,26.37,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
594,0.14,21.606,21.02,20.747,20.55,20.606,20.492,20.39,20.335,20.396,26.37,26.37,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
603,0.18,21.641,21.11,20.78,20.631,20.659,20.582,20.44,20.387,20.398,26.37,26.37,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
612,0.24,23.765,22.245,20.834,20.296,20.019,19.818,19.409,19.239,19.081,19.924,20.093,0.024,0.018,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.012,0.012
621,0.28,21.783,21.286,20.83,20.813,20.466,20.692,20.338,20.443,20.373,26.37,26.37,0.011,0.013,0.011,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
630,0.32,24.153,22.384,20.831,20.174,19.877,19.647,19.257,19.032,18.795,19.624,19.778,0.03,0.019,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011
639,0.36,24.347,22.467,20.797,20.13,19.787,19.553,19.19,18.919,18.666,19.45,19.62,0.033,0.02,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011
648,0.44,22.39,21.726,20.771,20.371,20.2,20.057,19.865,19.698,19.543,20.098,20.394,0.013,0.015,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.012,0.013
657,0.06,21.673,21.133,20.926,20.711,20.538,20.336,20.31,20.257,20.462,21.254,21.831,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.018,0.024
666,0.12,21.534,21.032,20.942,20.557,20.678,20.481,20.451,20.397,20.527,26.37,26.37,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
675,0.18,21.746,21.223,20.865,20.713,20.773,20.685,20.539,20.473,20.505,26.37,26.37,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
684,0.24,23.867,22.265,20.91,20.371,20.089,19.865,19.504,19.329,19.136,19.997,20.155,0.025,0.018,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.012,0.012
693,0.3,24.182,22.457,20.93,20.333,20.037,19.801,19.399,19.201,18.97,19.821,19.97,0.03,0.02,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.012
702,0.32,22.57,21.76,20.911,20.63,20.455,20.341,20.157,20.034,19.858,20.676,20.843,0.014,0.015,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.014,0.015
711,0.34,22.575,21.816,20.95,20.637,20.472,20.315,20.163,20.03,19.848,20.633,20.827,0.014,0.015,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.014,0.015
720,0.38,21.875,21.501,20.866,20.731,20.592,20.415,20.172,20.048,20,20.69,21.01,0.012,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.014,0.016
729,0.44,23.021,22.109,20.879,20.399,20.173,19.938,19.559,19.231,19.059,19.614,19.905,0.016,0.017,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.012
738,0.5,23.066,22.239,20.947,20.421,20.18,19.928,19.558,19.178,19.036,19.426,19.784,0.016,0.018,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.011
747,0.08,21.457,21.06,21.039,20.628,20.72,20.397,20.532,20.477,20.625,26.37,26.37,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,-1,-1
756,0.2,22.543,21.627,21.003,20.75,20.617,20.481,20.324,20.212,20.145,20.914,21.267,0.014,0.014,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.016,0.018
765,0.28,24.201,22.533,21.042,20.462,20.159,19.928,19.554,19.35,19.139,19.999,20.152,0.03,0.021,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.012,0.012
774,0.3,22,21.492,21.021,21.107,20.741,20.916,20.512,20.66,20.588,26.37,26.37,0.012,0.013,0.012,0.012,0.011,0.012,0.011,0.011,0.011,-1,-1
783,0.36,23.228,22.114,21.054,20.667,20.429,20.15,19.784,19.523,19.337,20.075,20.294,0.018,0.017,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.012,0.013
792,0.4,21.757,21.419,21.031,20.877,20.663,20.681,20.478,20.398,20.324,26.37,26.37,0.011,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,-1,-1
801,0.5,23.106,22.248,20.979,20.449,20.198,19.953,19.581,19.186,19.059,19.454,19.821,0.017,0.018,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.011
810,0.1,22.824,21.663,21.119,20.743,20.494,20.234,20.03,19.902,19.943,20.73,21.107,0.015,0.014,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.014,0.017
819,0.16,22.145,21.471,21.132,20.991,20.833,20.645,20.486,20.466,20.557,21.293,21.728,0.012,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.018,0.023
828,0.2,21.904,21.424,21.093,20.897,20.953,20.863,20.621,20.698,20.666,26.37,26.37,0.012,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,-1,-1
837,0.26,23.251,22.011,21.147,20.782,20.518,20.265,19.893,19.768,19.591,20.42,20.621,0.018,0.016,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.013,0.014
846,0.28,22.03,21.594,21.09,21.062,20.808,20.943,20.787,20.717,20.647,26.37,26.37,0.012,0.014,0.012,0.012,0.011,0.012,0.011,0.011,0.011,-1,-1
855,0.32,22.02,21.626,21.078,21.101,20.83,20.919,20.76,20.687,20.582,26.37,26.37,0.012,0.014,0.012,0.012,0.011,0.012,0.011,0.011,0.011,-1,-1
864,0.4,23.29,22.322,21.173,20.753,20.5,20.244,19.88,19.591,19.379,20.053,20.291,0.019,0.019,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.012,0.013
873,0.46,23.321,22.411,21.132,20.666,20.425,20.192,19.807,19.445,19.323,19.822,20.12,0.018,0.019,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.011,0.012
882,0.6,21.891,21.718,21.093,20.723,20.641,20.519,20.298,19.986,20.006,20.281,20.718,0.012,0.014,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.013,0.014
891,0.06,21.952,21.371,21.216,20.973,20.786,20.601,20.572,20.513,20.733,21.485,22.047,0.012,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.021,0.028
900,0.12,21.921,21.292,21.151,20.912,20.941,20.803,20.75,20.681,20.78,26.37,26.37,0.012,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.011,-1,-1
909,0.16,21.98,21.515,21.176,20.989,21.058,20.923,20.819,20.779,20.856,26.37,26.37,0.012,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,-1,-1
918,0.2,23.245,21.95,21.252,20.9,20.643,20.369,20.044,19.925,19.834,20.652,20.917,0.018,0.016,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.014,0.016
927,0.24,24.116,22.527,21.18,20.649,20.368,20.148,19.748,19.605,19.416,20.277,20.406,0.029,0.021,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.013,0.013
936,0.3,23.397,22.174,21.239,20.882,20.636,20.39,20.003,19.809,19.643,20.441,20.645,0.019,0.018,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.013,0.014
945,0.32,22.125,21.732,21.173,21.224,20.96,21.003,20.871,20.797,20.705,26.37,26.37,0.012,0.015,0.012,0.012,0.012,0.012,0.012,0.011,0.011,-1,-1
954,0.38,24.707,22.834,21.151,20.473,20.12,19.864,19.522,19.214,18.987,19.702,19.894,0.044,0.025,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.012
963,0.42,22.8,22.109,21.134,20.796,20.623,20.454,20.294,20.093,19.958,20.59,20.836,0.015,0.017,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.014,0.015
972,0.48,23.359,22.489,21.218,20.668,20.45,20.231,19.843,19.458,19.344,19.77,20.154,0.019,0.02,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.011,0.012
981,0.54,23.222,22.454,21.161,20.556,20.307,20.082,19.692,19.288,19.142,19.439,19.895,0.018,0.02,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.011,0.012
990,0.06,22.086,21.534,21.354,21.119,20.936,20.742,20.701,20.651,20.859,21.699,22.229,0.012,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.012,0.022,0.031
999,0.1,22.032,21.415,21.331,21.028,21.097,20.935,20.883,20.84,20.956,26.37,26.37,0.012,0.013,0.013,0.012,0.012,0.012,0.012,0.011,0.012,-1,-1
1008,0.14,22.292,21.589,21.311,21.136,20.993,20.795,20.652,20.619,20.751,21.499,21.956,0.013,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.02,0.026
1017,0.2,22.286,21.658,21.25,21.121,20.974,20.822,20.595,20.6,20.628,21.421,21.73,0.013,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.019,0.024
1026,0.24,22.438,21.812,21.351,21.236,21.076,20.916,20.677,20.67,20.661,21.42,21.768,0.013,0.015,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.019,0.024
1035,0.28,23.456,22.214,21.338,20.94,20.727,20.476,20.069,19.923,19.754,20.579,20.755,0.02,0.018,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.014,0.015
1044,0.3,22.254,21.746,21.282,21.357,20.959,21.157,20.797,20.899,20.806,26.37,26.37,0.013,0.015,0.013,0.013,0.012,0.012,0.011,0.012,0.011,-1,-1
1053,0.34,22.928,22.125,21.266,20.954,20.775,20.657,20.484,20.344,20.172,20.95,21.177,0.016,0.017,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.016,0.017
1062,0.38,23.535,22.497,21.325,20.944,20.689,20.449,20.081,19.788,19.615,20.323,20.535,0.021,0.02,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.013,0.014
1071,0.42,24.989,23.024,21.27,20.53,20.135,19.854,19.531,19.171,18.976,19.577,19.836,0.053,0.027,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.011
1080,0.46,25.226,22.976,21.283,20.425,20.055,19.773,19.424,19.027,18.854,19.3,19.676,0.058,0.027,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.011
1089,0.5,22.804,22.267,21.261,20.796,20.618,20.478,20.265,20.075,19.956,20.359,20.743,0.015,0.018,0.013,0.011,0.011,0.011,0.011,0.011,0.01,0.013,0.014
1098,0.06,22.201,21.623,21.453,21.235,21.034,20.85,20.827,20.762,20.978,21.828,22.316,0.012,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.012,0.024,0.033
1107,0.1,22.035,21.467,21.388,21.073,21.117,20.995,20.949,20.869,20.983,26.37,26.37,0.012,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,-1,-1
1116,0.16,22.281,21.723,21.382,21.242,21.288,21.195,21.078,21.025,21.07,26.37,26.37,0.013,0.014,0.013,0.012,0.013,0.012,0.012,0.012,0.012,-1,-1
1125,0.2,22.247,21.757,21.406,21.233,21.303,21.22,20.958,21.002,21.015,26.37,26.37,0.012,0.015,0.013,0.013,0.013,0.012,0.012,0.012,0.012,-1,-1
1134,0.22,22.286,21.82,21.395,21.299,21.324,21.25,20.942,21.001,21.01,26.37,26.37,0.013,0.015,0.013,0.013,0.013,0.013,0.012,0.012,0.012,-1,-1
1143,0.26,22.303,21.79,21.376,21.32,21.121,21.233,20.91,21,20.947,26.37,26.37,0.013,0.015,0.013,0.013,0.012,0.012,0.012,0.012,0.012,-1,-1
1152,0.28,22.306,21.926,21.385,21.34,21.107,21.245,21.054,20.988,20.929,26.37,26.37,0.013,0.015,0.013,0.013,0.012,0.012,0.012,0.012,0.012,-1,-1
1161,0.3,22.33,21.948,21.371,21.37,21.123,21.203,21.04,21.006,20.933,26.37,26.37,0.013,0.016,0.013,0.013,0.012,0.012,0.012,0.012,0.012,-1,-1
1170,0.34,22.335,21.976,21.428,21.458,21.164,21.239,21.082,20.992,20.906,26.37,26.37,0.013,0.016,0.013,0.013,0.012,0.012,0.012,0.012,0.012,-1,-1
1179,0.38,23.593,22.573,21.423,21.046,20.81,20.538,20.145,19.882,19.702,20.404,20.637,0.022,0.021,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.013,0.014
1188,0.4,23.57,22.613,21.381,20.975,20.736,20.5,20.113,19.837,19.651,20.29,20.543,0.021,0.021,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.013,0.014
1197,0.42,25.196,23.121,21.372,20.619,20.244,19.97,19.609,19.307,19.1,19.678,19.941,0.057,0.029,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.011,0.012
1206,0.44,23.009,22.33,21.342,20.985,20.822,20.653,20.466,20.317,20.146,20.711,20.982,0.016,0.019,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.014,0.016
1215,0.52,25.286,22.979,21.324,20.293,19.898,19.588,19.267,18.812,18.658,18.958,19.395,0.064,0.027,0.013,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011
1224,0.6,22.163,22.006,21.373,20.957,20.941,20.801,20.575,20.262,20.265,20.6,20.987,0.012,0.016,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.014,0.016
1233,0.06,22.066,21.574,21.51,21.299,21.282,21.128,21.089,21.016,21.188,26.37,26.37,0.012,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.012,-1,-1
1242,0.14,22.209,21.736,21.505,21.265,21.342,21.154,21.134,21.079,21.148,26.37,26.37,0.012,0.015,0.013,0.012,0.013,0.012,0.012,0.012,0.012,-1,-1
1251,0.16,22.275,21.814,21.493,21.282,21.342,21.22,21.112,21.099,21.142,26.37,26.37,0.013,0.015,0.013,0.013,0.013,0.012,0.012,0.012,0.012,-1,-1
1260,0.2,22.543,21.883,21.466,21.363,21.223,21.035,20.821,20.832,20.839,21.599,21.936,0.014,0.015,0.013,0.013,0.012,0.012,0.011,0.011,0.012,0.022,0.027
1269,0.24,22.599,21.998,21.559,21.448,21.273,21.091,20.875,20.882,20.831,21.596,21.961,0.014,0.016,0.014,0.013,0.013,0.012,0.012,0.012,0.012,0.022,0.027
1278,0.28,23.592,22.346,21.467,21.118,20.872,20.61,20.22,20.052,19.888,20.688,20.925,0.022,0.019,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.014,0.016
1287,0.32,23.679,22.527,21.56,21.147,20.914,20.658,20.265,20.063,19.874,20.675,20.86,0.023,0.021,0.014,0.012,0.012,0.011,0.011,0.011,0.01,0.014,0.015
1296,0.36,22.4,21.994,21.517,21.607,21.247,21.337,21.036,21.069,20.955,26.37,26.37,0.013,0.016,0.013,0.014,0.012,0.013,0.012,0.012,0.012,-1,-1
1305,0.4,23.647,22.651,21.466,21.02,20.795,20.557,20.172,19.894,19.708,20.365,20.612,0.022,0.022,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.013,0.014
1314,0.44,23.637,22.716,21.432,21.035,20.753,20.527,20.179,19.81,19.651,20.217,20.493,0.022,0.023,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.012,0.013
1323,0.48,23.594,22.747,21.47,20.944,20.728,20.496,20.126,19.761,19.591,20.047,20.349,0.022,0.023,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.012,0.013
