# ID z up gp rp ip zp Y J H K IRAC_1 IRAC_2 up_err gp_err rp_err ip_err zp_err Y_err J_err H_err K_err IRAC_1_err IRAC_2_err 
423 0.120 21.093 20.582 20.515 20.101 20.232 20.007 19.999 19.961 20.062 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.010 0.011 0.010 0.011 -1.000 -1.000
432 0.180 22.468 21.187 20.502 20.180 19.900 19.636 19.309 19.202 19.161 19.926 20.254 0.013 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.012 0.012
441 0.240 22.099 21.202 20.545 20.248 20.111 19.968 19.806 19.715 19.562 20.382 20.637 0.012 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.010 0.013 0.014
450 0.280 21.601 21.070 20.515 20.438 20.273 20.128 19.869 19.843 19.811 20.541 20.895 0.011 0.012 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.014 0.015
459 0.380 22.635 21.578 20.469 20.064 19.825 19.562 19.185 18.937 18.720 19.447 19.671 0.014 0.014 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.011
468 0.040 21.248 20.761 20.610 20.566 20.483 20.324 20.313 20.217 20.438 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
477 0.160 21.636 20.956 20.631 20.495 20.328 20.139 19.984 19.977 20.041 20.788 21.222 0.011 0.012 0.011 0.011 0.011 0.011 0.010 0.010 0.011 0.015 0.018
486 0.220 22.678 21.386 20.618 20.285 19.995 19.750 19.411 19.300 19.168 19.989 20.238 0.014 0.013 0.011 0.011 0.011 0.010 0.010 0.010 0.010 0.012 0.012
495 0.260 21.548 21.072 20.612 20.567 20.355 20.467 20.138 20.246 20.171 26.370 26.370 0.011 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
504 0.320 21.725 21.218 20.627 20.529 20.404 20.231 19.985 19.923 19.862 20.581 20.934 0.011 0.012 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.014 0.015
513 0.380 22.818 21.726 20.620 20.200 19.975 19.719 19.347 19.094 18.886 19.597 19.804 0.015 0.015 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.011
522 0.040 21.323 20.822 20.674 20.614 20.540 20.420 20.371 20.272 20.497 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
531 0.120 21.492 20.860 20.750 20.474 20.518 20.391 20.321 20.254 20.356 26.370 26.370 0.011 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
540 0.180 21.536 21.082 20.727 20.542 20.595 20.510 20.343 20.343 20.360 26.370 26.370 0.011 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
549 0.240 23.670 22.089 20.747 20.193 19.888 19.687 19.295 19.140 18.927 19.793 19.983 0.022 0.017 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.012
558 0.280 23.773 22.165 20.668 20.084 19.796 19.577 19.185 19.005 18.759 19.652 19.788 0.024 0.017 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.011
567 0.300 22.352 21.513 20.719 20.434 20.269 20.143 19.958 19.835 19.689 20.515 20.691 0.013 0.013 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.013 0.014
576 0.380 22.886 21.838 20.695 20.310 20.057 19.812 19.444 19.180 18.965 19.683 19.877 0.015 0.015 0.011 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.012
585 0.060 21.174 20.785 20.746 20.476 20.436 20.107 20.272 20.201 20.368 26.370 26.370 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
594 0.140 21.606 21.020 20.747 20.550 20.606 20.492 20.390 20.335 20.396 26.370 26.370 0.011 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
603 0.180 21.641 21.110 20.780 20.631 20.659 20.582 20.440 20.387 20.398 26.370 26.370 0.011 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
612 0.240 23.765 22.245 20.834 20.296 20.019 19.818 19.409 19.239 19.081 19.924 20.093 0.024 0.018 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.012 0.012
621 0.280 21.783 21.286 20.830 20.813 20.466 20.692 20.338 20.443 20.373 26.370 26.370 0.011 0.013 0.011 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
630 0.320 24.153 22.384 20.831 20.174 19.877 19.647 19.257 19.032 18.795 19.624 19.778 0.030 0.019 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.011
639 0.360 24.347 22.467 20.797 20.130 19.787 19.553 19.190 18.919 18.666 19.450 19.620 0.033 0.020 0.011 0.011 0.010 0.010 0.010 0.010 0.010 0.011 0.011
648 0.440 22.390 21.726 20.771 20.371 20.200 20.057 19.865 19.698 19.543 20.098 20.394 0.013 0.015 0.011 0.011 0.011 0.011 0.010 0.010 0.010 0.012 0.013
657 0.060 21.673 21.133 20.926 20.711 20.538 20.336 20.310 20.257 20.462 21.254 21.831 0.011 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.018 0.024
666 0.120 21.534 21.032 20.942 20.557 20.678 20.481 20.451 20.397 20.527 26.370 26.370 0.011 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
675 0.180 21.746 21.223 20.865 20.713 20.773 20.685 20.539 20.473 20.505 26.370 26.370 0.011 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
684 0.240 23.867 22.265 20.910 20.371 20.089 19.865 19.504 19.329 19.136 19.997 20.155 0.025 0.018 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.012 0.012
693 0.300 24.182 22.457 20.930 20.333 20.037 19.801 19.399 19.201 18.970 19.821 19.970 0.030 0.020 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.012
702 0.320 22.570 21.760 20.911 20.630 20.455 20.341 20.157 20.034 19.858 20.676 20.843 0.014 0.015 0.012 0.011 0.011 0.011 0.011 0.011 0.010 0.014 0.015
711 0.340 22.575 21.816 20.950 20.637 20.472 20.315 20.163 20.030 19.848 20.633 20.827 0.014 0.015 0.012 0.011 0.011 0.011 0.011 0.011 0.010 0.014 0.015
720 0.380 21.875 21.501 20.866 20.731 20.592 20.415 20.172 20.048 20.000 20.690 21.010 0.012 0.013 0.012 0.011 0.011 0.011 0.011 0.011 0.010 0.014 0.016
729 0.440 23.021 22.109 20.879 20.399 20.173 19.938 19.559 19.231 19.059 19.614 19.905 0.016 0.017 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.012
738 0.500 23.066 22.239 20.947 20.421 20.180 19.928 19.558 19.178 19.036 19.426 19.784 0.016 0.018 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.011
747 0.080 21.457 21.060 21.039 20.628 20.720 20.397 20.532 20.477 20.625 26.370 26.370 0.011 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
756 0.200 22.543 21.627 21.003 20.750 20.617 20.481 20.324 20.212 20.145 20.914 21.267 0.014 0.014 0.012 0.011 0.011 0.011 0.011 0.011 0.011 0.016 0.018
765 0.280 24.201 22.533 21.042 20.462 20.159 19.928 19.554 19.350 19.139 19.999 20.152 0.030 0.021 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.012 0.012
774 0.300 22.000 21.492 21.021 21.107 20.741 20.916 20.512 20.660 20.588 26.370 26.370 0.012 0.013 0.012 0.012 0.011 0.012 0.011 0.011 0.011 -1.000 -1.000
783 0.360 23.228 22.114 21.054 20.667 20.429 20.150 19.784 19.523 19.337 20.075 20.294 0.018 0.017 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.012 0.013
792 0.400 21.757 21.419 21.031 20.877 20.663 20.681 20.478 20.398 20.324 26.370 26.370 0.011 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.011 -1.000 -1.000
801 0.500 23.106 22.248 20.979 20.449 20.198 19.953 19.581 19.186 19.059 19.454 19.821 0.017 0.018 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.011
810 0.100 22.824 21.663 21.119 20.743 20.494 20.234 20.030 19.902 19.943 20.730 21.107 0.015 0.014 0.012 0.011 0.011 0.011 0.011 0.010 0.010 0.014 0.017
819 0.160 22.145 21.471 21.132 20.991 20.833 20.645 20.486 20.466 20.557 21.293 21.728 0.012 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.018 0.023
828 0.200 21.904 21.424 21.093 20.897 20.953 20.863 20.621 20.698 20.666 26.370 26.370 0.012 0.013 0.012 0.012 0.012 0.012 0.011 0.011 0.011 -1.000 -1.000
837 0.260 23.251 22.011 21.147 20.782 20.518 20.265 19.893 19.768 19.591 20.420 20.621 0.018 0.016 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.013 0.014
846 0.280 22.030 21.594 21.090 21.062 20.808 20.943 20.787 20.717 20.647 26.370 26.370 0.012 0.014 0.012 0.012 0.011 0.012 0.011 0.011 0.011 -1.000 -1.000
855 0.320 22.020 21.626 21.078 21.101 20.830 20.919 20.760 20.687 20.582 26.370 26.370 0.012 0.014 0.012 0.012 0.011 0.012 0.011 0.011 0.011 -1.000 -1.000
864 0.400 23.290 22.322 21.173 20.753 20.500 20.244 19.880 19.591 19.379 20.053 20.291 0.019 0.019 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.012 0.013
873 0.460 23.321 22.411 21.132 20.666 20.425 20.192 19.807 19.445 19.323 19.822 20.120 0.018 0.019 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.011 0.012
882 0.600 21.891 21.718 21.093 20.723 20.641 20.519 20.298 19.986 20.006 20.281 20.718 0.012 0.014 0.012 0.011 0.011 0.011 0.011 0.010 0.010 0.013 0.014
891 0.060 21.952 21.371 21.216 20.973 20.786 20.601 20.572 20.513 20.733 21.485 22.047 0.012 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.011 0.021 0.028
900 0.120 21.921 21.292 21.151 20.912 20.941 20.803 20.750 20.681 20.780 26.370 26.370 0.012 0.013 0.012 0.012 0.012 0.011 0.011 0.011 0.011 -1.000 -1.000
909 0.160 21.980 21.515 21.176 20.989 21.058 20.923 20.819 20.779 20.856 26.370 26.370 0.012 0.013 0.012 0.012 0.012 0.012 0.011 0.011 0.011 -1.000 -1.000
918 0.200 23.245 21.950 21.252 20.900 20.643 20.369 20.044 19.925 19.834 20.652 20.917 0.018 0.016 0.012 0.012 0.011 0.011 0.011 0.010 0.010 0.014 0.016
927 0.240 24.116 22.527 21.180 20.649 20.368 20.148 19.748 19.605 19.416 20.277 20.406 0.029 0.021 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.013 0.013
936 0.300 23.397 22.174 21.239 20.882 20.636 20.390 20.003 19.809 19.643 20.441 20.645 0.019 0.018 0.012 0.012 0.011 0.011 0.010 0.010 0.010 0.013 0.014
945 0.320 22.125 21.732 21.173 21.224 20.960 21.003 20.871 20.797 20.705 26.370 26.370 0.012 0.015 0.012 0.012 0.012 0.012 0.012 0.011 0.011 -1.000 -1.000
954 0.380 24.707 22.834 21.151 20.473 20.120 19.864 19.522 19.214 18.987 19.702 19.894 0.044 0.025 0.012 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.012
963 0.420 22.800 22.109 21.134 20.796 20.623 20.454 20.294 20.093 19.958 20.590 20.836 0.015 0.017 0.012 0.011 0.011 0.011 0.011 0.011 0.010 0.014 0.015
972 0.480 23.359 22.489 21.218 20.668 20.450 20.231 19.843 19.458 19.344 19.770 20.154 0.019 0.020 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.011 0.012
981 0.540 23.222 22.454 21.161 20.556 20.307 20.082 19.692 19.288 19.142 19.439 19.895 0.018 0.020 0.012 0.011 0.011 0.011 0.010 0.010 0.010 0.011 0.012
990 0.060 22.086 21.534 21.354 21.119 20.936 20.742 20.701 20.651 20.859 21.699 22.229 0.012 0.013 0.013 0.012 0.012 0.011 0.011 0.011 0.012 0.022 0.031
999 0.100 22.032 21.415 21.331 21.028 21.097 20.935 20.883 20.840 20.956 26.370 26.370 0.012 0.013 0.013 0.012 0.012 0.012 0.012 0.011 0.012 -1.000 -1.000
1008 0.140 22.292 21.589 21.311 21.136 20.993 20.795 20.652 20.619 20.751 21.499 21.956 0.013 0.014 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.020 0.026
1017 0.200 22.286 21.658 21.250 21.121 20.974 20.822 20.595 20.600 20.628 21.421 21.730 0.013 0.014 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.019 0.024
1026 0.240 22.438 21.812 21.351 21.236 21.076 20.916 20.677 20.670 20.661 21.420 21.768 0.013 0.015 0.013 0.012 0.012 0.012 0.011 0.011 0.011 0.019 0.024
1035 0.280 23.456 22.214 21.338 20.940 20.727 20.476 20.069 19.923 19.754 20.579 20.755 0.020 0.018 0.013 0.012 0.011 0.011 0.011 0.010 0.010 0.014 0.015
1044 0.300 22.254 21.746 21.282 21.357 20.959 21.157 20.797 20.899 20.806 26.370 26.370 0.013 0.015 0.013 0.013 0.012 0.012 0.011 0.012 0.011 -1.000 -1.000
1053 0.340 22.928 22.125 21.266 20.954 20.775 20.657 20.484 20.344 20.172 20.950 21.177 0.016 0.017 0.013 0.012 0.011 0.011 0.011 0.011 0.011 0.016 0.017
1062 0.380 23.535 22.497 21.325 20.944 20.689 20.449 20.081 19.788 19.615 20.323 20.535 0.021 0.020 0.013 0.012 0.011 0.011 0.011 0.010 0.010 0.013 0.014
1071 0.420 24.989 23.024 21.270 20.530 20.135 19.854 19.531 19.171 18.976 19.577 19.836 0.053 0.027 0.013 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.011
1080 0.460 25.226 22.976 21.283 20.425 20.055 19.773 19.424 19.027 18.854 19.300 19.676 0.058 0.027 0.013 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.011
1089 0.500 22.804 22.267 21.261 20.796 20.618 20.478 20.265 20.075 19.956 20.359 20.743 0.015 0.018 0.013 0.011 0.011 0.011 0.011 0.011 0.010 0.013 0.014
1098 0.060 22.201 21.623 21.453 21.235 21.034 20.850 20.827 20.762 20.978 21.828 22.316 0.012 0.014 0.013 0.012 0.012 0.012 0.011 0.011 0.012 0.024 0.033
1107 0.100 22.035 21.467 21.388 21.073 21.117 20.995 20.949 20.869 20.983 26.370 26.370 0.012 0.013 0.013 0.012 0.012 0.012 0.012 0.012 0.012 -1.000 -1.000
1116 0.160 22.281 21.723 21.382 21.242 21.288 21.195 21.078 21.025 21.070 26.370 26.370 0.013 0.014 0.013 0.012 0.013 0.012 0.012 0.012 0.012 -1.000 -1.000
1125 0.200 22.247 21.757 21.406 21.233 21.303 21.220 20.958 21.002 21.015 26.370 26.370 0.012 0.015 0.013 0.013 0.013 0.012 0.012 0.012 0.012 -1.000 -1.000
1134 0.220 22.286 21.820 21.395 21.299 21.324 21.250 20.942 21.001 21.010 26.370 26.370 0.013 0.015 0.013 0.013 0.013 0.013 0.012 0.012 0.012 -1.000 -1.000
1143 0.260 22.303 21.790 21.376 21.320 21.121 21.233 20.910 21.000 20.947 26.370 26.370 0.013 0.015 0.013 0.013 0.012 0.012 0.012 0.012 0.012 -1.000 -1.000
1152 0.280 22.306 21.926 21.385 21.340 21.107 21.245 21.054 20.988 20.929 26.370 26.370 0.013 0.015 0.013 0.013 0.012 0.012 0.012 0.012 0.012 -1.000 -1.000
1161 0.300 22.330 21.948 21.371 21.370 21.123 21.203 21.040 21.006 20.933 26.370 26.370 0.013 0.016 0.013 0.013 0.012 0.012 0.012 0.012 0.012 -1.000 -1.000
1170 0.340 22.335 21.976 21.428 21.458 21.164 21.239 21.082 20.992 20.906 26.370 26.370 0.013 0.016 0.013 0.013 0.012 0.012 0.012 0.012 0.012 -1.000 -1.000
1179 0.380 23.593 22.573 21.423 21.046 20.810 20.538 20.145 19.882 19.702 20.404 20.637 0.022 0.021 0.013 0.012 0.011 0.011 0.011 0.010 0.010 0.013 0.014
1188 0.400 23.570 22.613 21.381 20.975 20.736 20.500 20.113 19.837 19.651 20.290 20.543 0.021 0.021 0.013 0.012 0.011 0.011 0.011 0.010 0.010 0.013 0.014
1197 0.420 25.196 23.121 21.372 20.619 20.244 19.970 19.609 19.307 19.100 19.678 19.941 0.057 0.029 0.013 0.011 0.011 0.010 0.010 0.010 0.010 0.011 0.012
1206 0.440 23.009 22.330 21.342 20.985 20.822 20.653 20.466 20.317 20.146 20.711 20.982 0.016 0.019 0.013 0.012 0.011 0.011 0.011 0.011 0.011 0.014 0.016
1215 0.520 25.286 22.979 21.324 20.293 19.898 19.588 19.267 18.812 18.658 18.958 19.395 0.064 0.027 0.013 0.011 0.010 0.010 0.010 0.010 0.010 0.010 0.011
1224 0.600 22.163 22.006 21.373 20.957 20.941 20.801 20.575 20.262 20.265 20.600 20.987 0.012 0.016 0.013 0.012 0.012 0.011 0.011 0.011 0.011 0.014 0.016
1233 0.060 22.066 21.574 21.510 21.299 21.282 21.128 21.089 21.016 21.188 26.370 26.370 0.012 0.014 0.013 0.013 0.013 0.012 0.012 0.012 0.012 -1.000 -1.000
1242 0.140 22.209 21.736 21.505 21.265 21.342 21.154 21.134 21.079 21.148 26.370 26.370 0.012 0.015 0.013 0.012 0.013 0.012 0.012 0.012 0.012 -1.000 -1.000
1251 0.160 22.275 21.814 21.493 21.282 21.342 21.220 21.112 21.099 21.142 26.370 26.370 0.013 0.015 0.013 0.013 0.013 0.012 0.012 0.012 0.012 -1.000 -1.000
1260 0.200 22.543 21.883 21.466 21.363 21.223 21.035 20.821 20.832 20.839 21.599 21.936 0.014 0.015 0.013 0.013 0.012 0.012 0.011 0.011 0.012 0.022 0.027
1269 0.240 22.599 21.998 21.559 21.448 21.273 21.091 20.875 20.882 20.831 21.596 21.961 0.014 0.016 0.014 0.013 0.013 0.012 0.012 0.012 0.012 0.022 0.027
1278 0.280 23.592 22.346 21.467 21.118 20.872 20.610 20.220 20.052 19.888 20.688 20.925 0.022 0.019 0.013 0.012 0.012 0.011 0.011 0.011 0.010 0.014 0.016
1287 0.320 23.679 22.527 21.560 21.147 20.914 20.658 20.265 20.063 19.874 20.675 20.860 0.023 0.021 0.014 0.012 0.012 0.011 0.011 0.011 0.010 0.014 0.015
1296 0.360 22.400 21.994 21.517 21.607 21.247 21.337 21.036 21.069 20.955 26.370 26.370 0.013 0.016 0.013 0.014 0.012 0.013 0.012 0.012 0.012 -1.000 -1.000
1305 0.400 23.647 22.651 21.466 21.020 20.795 20.557 20.172 19.894 19.708 20.365 20.612 0.022 0.022 0.013 0.012 0.011 0.011 0.011 0.010 0.010 0.013 0.014
